#;Nickname  in  steam;Kills;Deaths;Best  Gun;Best  Gun  Kills;Bazooka;G43;Garand;Kar98;Kar98_Sniper;M1903;M1911;M1918A2_BAR;M1919;M1_Carbine;M43;MG42;MK2_Grenade;MP40;P38;Panzershreck;SMG_M3_GreaseGun;SMine;STG44;Satchel_3KG;Satchel_M37;Tank/Arty;Tellermine43;Thompson
1;Blexer;10;21;Tank/Arty;5;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;4 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;5 ;0 ;0
2;Chains;10;32;MP40;5;0 ;0 ;0 ;4 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;5 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0
3;Cobra;3;10;Tank/Arty;3;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;3 ;0 ;0
4;Ernst;32;6;Tank/Arty;32;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;32 ;0 ;0
5;Gauner#1;33;20;Tank/Arty;20;0 ;4 ;0 ;7 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;20 ;0 ;0
6;Lyakon;21;23;Tank/Arty;8;0 ;0 ;0 ;6 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;1 ;0 ;0 ;4 ;0 ;0 ;0 ;8 ;0 ;0
7;Pepe;6;7;Tank/Arty;6;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;6 ;0 ;0
8;Puhman;32;50;STG44;32;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;32 ;0 ;0 ;0 ;0 ;0
9;Setsfere;22;28;G43;21;0 ;21 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
10;Toti  (GER);14;15;MP40;12;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;12 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
11;VASZZZ;27;29;STG44;20;0 ;0 ;0 ;6 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;20 ;0 ;0 ;0 ;0 ;0
12;[LS]    h1kky                  ;5;6;Tank/Arty;5;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;5 ;0 ;0
13;[LS]  4MN;65;13;M1903;65;0 ;0 ;0 ;0 ;0 ;65 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
14;[LS]  Adlanda;28;36;Thompson;11;0 ;0 ;7 ;0 ;0 ;0 ;0 ;0 ;0 ;10 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;11
15;[LS]  Bectnuk;25;2;Tank/Arty;25;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;25 ;0 ;0
16;[LS]  Def  Grinn;2;4;SMG_M3_GreaseGun;1;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
17;[LS]  Demur;21;27;M1919;21;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;21 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
18;[LS]  DragonLight;0;2;Thompson;0;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
19;[LS]  Erso;42;17;Garand;29;0 ;0 ;29 ;0 ;0 ;0 ;0 ;4 ;0 ;4 ;0 ;0 ;3 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0
20;[LS]  Feas;13;25;Garand;12;0 ;0 ;12 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
21;[LS]  G.I.  Tommy;42;9;Tank/Arty;42;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;42 ;0 ;0
22;[LS]  Gesta;4;4;Garand;4;0 ;0 ;4 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
23;[LS]  Gordon;29;27;Garand;26;0 ;0 ;26 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;3 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
24;[LS]  HENTAIONELOVE;22;20;Garand;20;0 ;0 ;20 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
25;[LS]  I_I_I.T.bI.K;12;6;Tank/Arty;12;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;12 ;0 ;0
26;[LS]  KAK_DED;52;34;Garand;25;0 ;0 ;25 ;0 ;0 ;0 ;0 ;24 ;0 ;0 ;0 ;0 ;3 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
27;[LS]  Kefalin  ♠;26;19;M1919;26;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;26 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
